Departure Date,Sum_of_Revenue
2018-07-06,1262.5
2018-07-06,1262.5
2018-07-27,3451.07
2018-07-27,3451.07
2018-07-06,1618.15
2018-07-06,1618.15
2018-08-14,355.0
2018-08-14,355.0
2018-07-12,136.1
2018-07-12,136.1
2018-07-02,148.54
2018-07-02,148.54
2018-07-06,1262.5
2018-07-06,1262.5
2018-07-06,187.5
2018-07-06,187.5
2018-07-04,609.37
2018-07-04,609.37
2018-07-04,286.0
2018-07-04,286.0
2018-07-18,805.49
2018-07-18,805.49
2018-07-13,5071.969999999998
2018-07-13,5071.969999999998
2018-07-27,10145.06
2018-07-27,10145.06
2018-07-17,1575.0199999999998
2018-07-17,1575.0199999999998
2018-08-04,8914.93
2018-08-04,8914.93
2018-07-06,382.93
2018-07-06,382.93
2018-07-06,362.57
2018-07-06,362.57
2018-07-05,263.47
2018-07-05,263.47
2018-07-04,1477.0
2018-07-04,1477.0
2018-07-06,890.37
2018-07-06,890.37
2018-07-04,1477.0
2018-07-04,1477.0
2018-07-06,268.63
2018-07-06,268.63
2018-07-04,1320.0
2018-07-04,1320.0
2018-07-03,315.0
2018-07-03,315.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-09,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-10,1110.0
2018-07-11,1110.0
2018-07-11,1110.0
2018-07-11,1110.0
2018-07-11,1155.0
2018-07-11,1155.0
2018-07-11,1155.0
2018-07-09,370.0
2018-07-09,370.0
2018-07-05,480.44
2018-07-05,480.44
2018-07-04,1378.92
2018-07-04,1378.92
2018-07-05,194.5
2018-07-05,194.5
2018-07-05,194.5
2018-07-11,1110.0
2018-07-11,1110.0
2018-07-11,1110.0
2018-07-04,1540.0
2018-07-04,1540.0
2018-07-12,1110.0
2018-07-12,1110.0
2018-07-12,1110.0
2018-07-13,1110.0
2018-07-13,1110.0
2018-07-13,1110.0
2018-07-05,1540.0
2018-07-05,1540.0
2018-07-06,505.44
2018-07-06,505.44
2018-07-18,3178.15
2018-07-18,3178.15
2018-07-19,1485.0
2018-07-19,1485.0
2018-07-05,479.5
2018-07-05,479.5
2018-07-05,405.22
2018-07-05,405.22
2018-07-26,2278.99
2018-07-26,2278.99
2018-09-04,1592.1799999999996
2018-09-04,1592.1799999999996
2018-07-05,190.51
2018-07-05,190.51
2018-09-07,1738.6699999999996
2018-09-07,1738.6699999999996
2018-07-14,2402.1
2018-07-14,2402.1
2018-07-09,865.0
2018-07-09,865.0
2018-07-09,2225.0
2018-07-09,2225.0
2018-07-09,2225.0
2018-07-09,1400.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-06,1185.0
2018-07-06,1185.0
2018-07-25,1135.0
2018-07-25,1135.0
2018-07-04,240.0
2018-07-04,240.0
2018-07-06,514.49
2018-07-06,514.49
2018-07-12,2469.4400000000005
2018-07-12,2469.4400000000005
2018-07-12,2344.35
2018-07-12,2344.35
2018-07-12,2350.27
2018-07-12,2350.27
2018-07-24,10147.8
2018-07-24,10147.8
2018-07-08,1390.31
2018-07-08,1390.31
2018-07-13,8675.23
2018-07-13,8675.23
2018-07-20,2346.49
2018-07-20,2346.49
2018-07-14,5115.79
2018-07-14,5115.79
2018-07-22,5197.41
2018-07-22,5197.41
2018-07-30,2690.03
2018-07-30,2690.03
2018-07-18,11773.48
2018-07-18,11773.48
2018-07-26,3271.05
2018-07-26,3271.05
2018-08-14,1652.1899999999996
2018-08-14,1652.1899999999996
2018-07-15,1430.7
2018-07-15,1430.7
2018-07-24,2848.45
2018-07-24,2848.45
2018-06-26,282.0
2018-06-26,282.0
2018-07-20,1219.98
2018-07-20,1219.98
2018-07-06,346.5
2018-07-06,346.5
2018-07-06,346.5
2018-07-11,3953.91
2018-07-11,3953.91
2018-07-06,195.15
2018-07-06,195.15
2018-08-02,2346.2200000000007
2018-08-02,2346.2200000000007
2018-07-06,970.0
2018-07-05,1242.36
2018-07-05,1242.36
2018-07-06,211.98
